Ref number,Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Total Length of Branches (um),Average Length of Branches (um),Complexity,AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),Compactness,Unoccupied AChR Area (um2),Area of Synaptic Contact (um2),Overlap,Manual Endplate Area,Manual Compactness,Fragmentation,Animal,Genotype,Gender
2M05.tif,535.9343775,419.6295118,227.1318938,1.214609058,6.360835069,476.9745384,521.7940487,72.55151003,235.8276935,914.020314,0.570877956,40.21994701,481.5741017,0.922919882,1558.2357,0.334862081,6,1,WT,M
2M88.tif,715.0077493,340.4394138,353.3366316,1.150933654,7.211649861,479.5979723,566.2582696,53.16950956,158.1159071,1082.558248,0.523074181,39.64118239,526.6170872,0.929994519,1243.9161,0.455222237,11,2,WT,M
2M77.tif,457.8174676,252.1820035,185.3689327,1.640433033,5.91440146,405.9765662,426.0462499,45.11603314,183.8033502,768.1296908,0.554654058,27.75553799,398.2907119,0.934853228,1098.8978,0.387703251,7,3,WT,M
2M166.tif,295.3282236,133.9965909,138.7519432,1.250017506,5.822240805,280.9383337,227.3622281,46.91910615,126.3301754,377.4971252,0.602288635,14.80463117,212.5575969,0.934885265,546.2532,0.41622132,6,5,WT,M
2M175.tif,403.4299293,374.0077617,179.6906354,2.164947414,5.616396763,376.7806078,460.2940171,43.56011931,132.2719825,835.5431869,0.550891952,25.61662527,434.6773918,0.944347256,978.9174,0.470207208,3,4,WT,M
2M51.tif,653.6549795,388.6614108,291.5164589,1.037425121,6.857457079,543.0097955,566.4763548,71.73005422,234.3553551,1142.254883,0.495928153,31.47137459,535.0049802,0.944443622,1634.2048,0.346637309,12,6,WT,M
2M174.tif,397.0395915,257.6257461,177.126243,1.884321734,5.909118044,329.5618438,387.7639062,44.27708544,127.0803434,698.5017908,0.555136596,15.93699673,371.8269095,0.958900257,813.3152,0.476769531,5,2,WT,M
2M91.tif,215.6507401,107.3566427,84.5333621,1.341799398,5.042758443,204.1715954,200.4287036,53.29336276,142.4889199,336.3125704,0.595959596,7.68331,192.7453936,0.96166562,653.8279,0.306546575,4,5,WT,M
2M74.tif,248.3707358,109.1684276,116.3135102,1.453918877,5.546211949,172.7407672,200.2190063,28.16605974,87.0112901,350.3287397,0.571517502,5.15016631,195.06884,0.974277336,404.8081,0.494602273,2,3,WT,M
2M38.tif,631.9443005,385.5998298,399.6788648,1.531336647,7.264850271,333.8728683,335.0040591,43.34033643,134.0125684,665.9232144,0.503067098,315.6280263,19.37603286,0.69283157,788.6801,0.424765452,13,28,HOM,M
2M69.tif,574.6552217,237.8974217,251.4020357,1.117342381,6.60110988,657.6427986,355.3027602,49.37211348,185.8820094,940.4505649,0.377800571,312.7006516,42.60210863,0.84277249,1151.49,0.308559137,15,28,HOM,M
2M142.tif,282.3176989,280.600185,139.7593831,1.41171094,5.512453487,384.3080984,260.7208786,99.60328315,148.1043629,452.8204044,0.575771048,223.9231919,36.79768666,0.66383554,632.0864,0.412476647,4,14,HOM,M
2M165.tif,661.9728869,391.5636217,356.1757803,1.656631536,6.975699465,499.377269,508.0630678,78.21943587,213.2579682,875.4611698,0.580337638,432.0435934,76.0194744,0.90067854,1379.8252,0.368208283,10,14,HOM,M
2M152.tif,344.0666583,220.5093195,154.0467119,1.638794807,5.694298148,260.6692201,282.5461762,74.50282832,122.5226396,556.4695984,0.507747732,236.7398925,45.80628376,0.85705804,694.0646,0.407089162,8,18,HOM,M
2M154.tif,386.9696599,275.7771466,200.6637014,0.946526893,6.374815788,232.3430921,230.1721722,147.1672885,135.0563649,464.7144367,0.495298089,191.1768576,38.99531463,0.70314493,778.7404,0.295569836,8,10,HOM,M
2M83.tif,477.1469252,307.8692252,221.2704256,1.615112596,6.130199094,387.3775587,293.2994551,56.70203993,203.4756189,624.4954108,0.469658303,232.3698002,60.92965486,0.64921211,1194.3689,0.245568564,11,14,HOM,M
2M158.tif,544.3110554,458.1970439,293.1649969,1.145175769,6.769668143,397.8297373,335.6918664,155.3052539,218.0226446,692.6051021,0.484680037,257.7347887,77.95707768,0.6295195,1220.1113,0.275132167,12,10,HOM,M
2M121.tif,725.9656499,548.8282279,386.8569031,1.09281611,7.226176164,553.0359366,543.7703284,73.08426381,246.1795444,910.41352,0.597278398,388.795617,154.9747114,0.73937188,1601.5424,0.339529149,18,11,HOM,M
2M82.tif,524.6637846,377.2287126,257.5382603,1.480104944,6.489484144,431.1836681,287.1008021,50.45260653,200.1125301,564.5051999,0.50858841,195.3204768,91.78032537,0.63179256,1142.9846,0.251185188,9,11,HOM,M
2M50.tif,647.9439467,323.5294215,294.9051202,1.218616199,6.829572411,606.2733045,440.859269,45.44114821,153.5420271,1123.650536,0.392345533,285.4483872,155.4108818,0.79982496,1288.8837,0.342047362,15,10,HOM,M
2M48.tif,383.9224219,265.8374933,220.1714003,1.236917979,6.479671632,285.9687532,223.6883309,130.8646674,121.9921907,341.8653556,0.65431705,134.1056335,89.5826974,0.73098845,513.4397,0.435666215,1,28,HOM,M
2M34.tif,369.8201143,278.5199876,172.7301419,1.489052947,5.849354695,301.8963403,429.7956381,110.9047885,139.0124859,712.366978,0.603334589,250.3198913,179.4757469,0.9774395,873.532,0.492020485,1,18,HOM,M
2M111.tif,382.166856,246.6376062,175.9356323,1.363842111,5.990622269,322.0080471,265.5439171,64.07447319,111.1828752,458.499008,0.579159197,147.4423834,118.1015337,0.62511845,565.9312,0.4692159,5,35,HOM,M
2M134.tif,556.8295297,336.0944852,266.4220481,1.359296164,6.564657987,389.3641699,320.8033563,68.83942168,203.5721338,633.3110863,0.506549409,161.2404674,159.5628888,0.68666004,1084.1771,0.295895713,14,18,HOM,M
2M131.tif,522.103205,379.6863652,256.2560641,1.755178521,6.495856227,564.8830023,392.2933684,134.9635079,126.5140005,811.9899833,0.483125872,194.3139296,197.9794388,0.67117107,888.454,0.441546066,10,10,HOM,M
2M167.tif,458.5317416,335.800909,266.2388772,1.663992982,6.499795361,346.3843713,416.1149846,54.48833464,151.336351,652.2928882,0.6379266,203.9683945,212.1465901,0.87782459,818.65,0.508294124,7,17,HOM,M
2M29.tif,522.0343044,394.8600637,214.8594447,1.918387899,5.896716365,480.0500449,445.5481012,61.5140622,300.808641,837.4304629,0.532041908,216.1727788,229.3753224,0.86991277,1575.4728,0.282802789,7,10,HOM,M
2M07.tif,292.512414,206.2666771,145.9871931,1.824839913,5.648101685,207.288659,182.9986619,157.1939705,111.0549331,363.6403259,0.503240837,86.81469271,96.1839692,0.9605812,430.3492,0.425232955,2,18,HOM,M
